Major,Most_Used_Social_Media,Age,Creativity_Score,Creativity_Percentile,Year,Semester,Section,BirthMonth,Biosex,Height_in_Inches,Number_of_Languages_Spoken,Extroversion,Agreeableness,Openness,Conscientiousness,Neuroticism,How_Many_Siblings,Birth_Order,Oldest_Child
"Fisheries, Range and Wildlife Management",Discord,25,90.26,96.67,2025,WIN,D,April,F,73,1,0,35,44,29,100,2,1,1
"Fisheries, Range and Wildlife Management",Instagram,24,76.1,38.83,2025,WIN,D,April,M,75,1,27,81,54,67,62.5,4,2,0
Psychology,Instagram,19,84.97,85.18,2025,WIN,D,April,F,67,1,29,48,85,62.5,60,2,1,1
Psychology,Instagram,22,81.58,70.39,2025,WIN,D,April,F,67,1,40,58,73,37.5,71,4,5,0
Psychology,None,24,88.93,94.91,2025,WIN,D,April,M,74,2,69,65,40,83,58,3,3,0
Computer Science,YouTube,22,93.01,98.77,2025,WIN,D,August,M,71,3,42,56,62.5,67,58,5,4,0
Computer Engineering,Discord,26,88.13,93.53,2025,WIN,D,August,M,76,2,90,69,92,48,27,8,2,0
Computer Engineering,YouTube,23,84.12,82.04,2025,WIN,D,August,M,70,1,67,69,83,67,77,5,2,0
Data Science,NA,23,87.35,91.91,2025,WIN,D,August,M,72,2,72,50,98,92,44,3,1,1
"Fisheries, Range and Wildlife Management",Instagram,25,74.66,30.85,2025,WIN,D,August,F,68,1,85,62.5,81,35,58,3,2,0
Geology,Instagram,26,81.33,69.08,2025,WIN,D,August,M,69,1,54,56,73,52,52,7,6,0
Psychology,NA,19,80.71,65.77,2025,WIN,D,August,F,68,1,56,54,67,83,33,5,1,1
Software Engineering,YouTube,23,90.32,96.74,2025,WIN,D,August,M,70,2,69,67,96,42,65,4,2,0
Biology,Instagram,19,88.8,94.71,2025,WIN,D,December,F,63,1,29,81,85,42,79,3,1,1
Business Management,Snapchat,24,73.39,24.51,2025,WIN,D,December,M,73,1,69,65,62.5,75,40,9,1,1
Computer Engineering,Instagram,21,80.53,64.76,2025,WIN,D,December,F,64.8,2,65,81,71,65,46,3,3,0
Computer Science,Instagram,25,80.81,66.27,2025,WIN,D,December,M,67,3,50,69,50,54,56,2,3,0
"Fisheries, Range and Wildlife Management",YouTube,19,74.71,31.12,2025,WIN,D,December,F,63,1,42,62.5,69,37.5,44,6,5,0
Geology,Facebook,28,82.37,74.35,2025,WIN,D,December,M,74,1,73,75,77,60,35,4,1,1
Geology,Facebook,24,81.76,71.34,2025,WIN,D,December,M,72,1,29,52,48,62.5,62.5,8,3,0
Public Administration,Facebook,50,90.04,96.43,2025,WIN,D,December,F,66,3,87.5,75,69,96,19,2,2,0
Physics,NA,NA,73.31,24.13,2025,WIN,D,December,M,71,2,92,69,94,52,40,1,1,1
Math Education,Instagram,18,80.3,63.44,2025,WIN,D,February,F,63,1,92,83,69,37.5,10,4,3,0
Physics,YouTube,18,77.77,48.61,2025,WIN,D,February,F,67,1.5,33,75,87.5,48,62.5,2,1,1
Psychology,TikTok,18,78.05,50.27,2025,WIN,D,February,F,64,2,19,92,75,58,83,0,1,1
Psychology,TikTok,22,84.33,82.82,2025,WIN,D,February,F,66,1,69,58,79,35,62.5,3,3,0
Psychology,Instagram,18,84.29,82.67,2025,WIN,D,February,F,61,1,71,75,77,35,42,4,3,0
Data Science,YouTube,22,88.28,93.82,2025,WIN,D,February,M,68,2,23,67,81,85,50,3,3,0
Mathematics,Snapchat,21,88.85,94.78,2025,WIN,D,February,F,62,1,65,75,83,46,27,6,3,0
Data Science,Pinterest,25,79.28,57.57,2025,WIN,D,January,F,64,1,46,71,65,81,29,3,1,1
"Fisheries, Range and Wildlife Management",NA,20,81.49,69.96,2025,WIN,D,January,M,74,2,33,92,71,48,52,3,2,0
"Fisheries, Range and Wildlife Management",Instagram,19,75.88,37.56,2025,WIN,D,January,F,59,2,19,79,48,56,50,2,3,0
Psychology,Instagram,21,71.6,16.9,2025,WIN,D,January,M,65,1,60,60,85,48,15,3,2,0
Psychology,Instagram,21,86.45,89.7,2025,WIN,D,January,F,65,2,31,69,46,58,50,2,2,0
Psychology,TikTok,19,82.18,73.43,2025,WIN,D,January,F,64,1,92,87.5,77,52,46,4,4,0
Psychology,YouTube,22,93.18,98.85,2025,WIN,D,January,M,75,3,50,77,73,65,33,3,2,0
NA,NA,NA,NA,NA,2025,WIN,D,January,M,72,1,60,56,56,58,77,3,1,1
Psychology,TikTok,18,83.75,80.54,2025,WIN,D,July,F,59,1,92,79,98,40,48,3,3,0
Psychology,Facebook,23,78.48,52.84,2025,WIN,D,July,M,71,1,87.5,75,75,75,21,3,3,0
Industrial/organizational psychology,Pinterest,19,70.95,14.57,2025,WIN,D,July,F,59,1,71,90,65,79,15,3,1,1
Mathematics,Instagram,21,88.98,94.99,2025,WIN,D,July,F,66,1.5,12.5,75,83,31,67,5,1,1
Psychology,Instagram,21,75.69,36.48,2025,WIN,D,July,F,62,1,58,78,73,37.5,48,6,1,1
Business Analytics,WhatsApp,20,82.39,74.44,2025,WIN,D,June,M,68.9,3,37.5,77,96,50,65,1,2,0
"Fisheries, Range and Wildlife Management",TikTok,21,88.83,94,2025,WIN,D,June,F,67,1,48,60,90,71,40,3,1,1
History,Instagram,18,91.05,97.46,2025,WIN,D,June,F,68,1,69,81,90,65,62.5,2,3,0
Industrial/organizational psychology,Messenger,19,74.09,27.92,2025,WIN,D,June,F,NA,1,56,81,87.5,58,69,5,6,0
International Studies,YouTube,22,87,91.1,2025,WIN,D,June,M,70,2,79,42,79,56,40,3,1,1
Psychology,YouTube,22,86.89,90.85,2025,WIN,D,March,M,75,1,35,71,87.5,54,46,2,1,1
Bioinformatics,Instagram,21,90.13,96.53,2025,WIN,D,March,M,72,1,40,65,90,56,50,2,2,0
"Fisheries, Range and Wildlife Management",Instagram,22,72.15,19.04,2025,WIN,D,March,M,79,2,50,90,81,79,35,3,2,0
"Fisheries, Range and Wildlife Management",NA,18,81.74,70.835,2025,WIN,D,March,F,64,1,23,75,58,85,81,2,NA,NA
"Fisheries, Range and Wildlife Management",TikTok,19,92.74,98.63,2025,WIN,D,March,F,63,1,42,77,87.5,58,42,2,3,0
"Fisheries, Range and Wildlife Management",Facebook,20,73.09,23.12,2025,WIN,D,March,F,63,1,42,77,42,79,52,5,2,0
"Fisheries, Range and Wildlife Management",Facebook,20,72.73,21.51,2025,WIN,D,March,M,76,1,42,60,60,90,35,1,2,0
Business Analytics,Instagram,19,79.21,57.18,2025,WIN,D,May,F,68,1,58,71,81,76,58,3,3,0
"Fisheries, Range and Wildlife Management",Instagram,24,85.36,86.46,2025,WIN,D,May,M,72,2,6,69,46,75,54,2,2,0
"Fisheries, Range and Wildlife Management",Messenger,22,76.32,40.08,2025,WIN,D,May,M,58,1,65,92,77,75,50,3,1,1
"Fisheries, Range and Wildlife Management",YouTube,26,93.76,99.09,2025,WIN,D,May,M,64,0.9,40,56,60,46,42,6,4,0
Industrial/organizational psychology,Instagram,NA,82.47,74.83,2025,WIN,D,May,M,71,1,79,56,90,73,29,0,5,0
Psychology,YouTube,22,81.33,69.09,2025,WIN,D,May,F,63,2,75,83,77,35,60,7,8,0
Psychology,Instagram,23,82.27,73.89,2025,WIN,D,May,F,68,1,92,81,65,87.5,25,5,3,0
Psychology,YouTube,21,91.3,97.68,2025,WIN,D,May,M,69,2,81,58,77,75,37.5,2,2,0
Psychology,NA,20,80.93,66.97,2025,WIN,D,May,F,62,2,56,90,71,44,67,0,1,1
Software Engineering,Instagram,24,85.68,87.48,2025,WIN,D,May,M,74,1,50,62.5,75,25,54,3,1,1
"Fisheries, Range and Wildlife Management",YouTube,25,74.39,29.47,2025,WIN,D,November,M,72,1,44,83,81,27,67,2,3,0
"Fisheries, Range and Wildlife Management",Instagram,24,72.22,19.33,2025,WIN,D,November,F,63,1,62.5,85,75,58,50,3,1,1
"Fisheries, Range and Wildlife Management",Instagram,25,81.75,71.28,2025,WIN,D,November,M,74,2,58,77,69,73,48,3,3,0
"Fisheries, Range and Wildlife Management",Facebook,21,81.49,69.92,2025,WIN,D,November,F,65,1,46,73,77,65,69,6,5,0
"Fisheries, Range and Wildlife Management",Tumblr,26,83.73,80.44,2025,WIN,D,November,F,70,1,23,64,71,12.5,62.5,1,1,1
Psychology,Instagram,18,91.32,97.69,2025,WIN,D,November,F,65,1,67,62,73,85,44,7,7,0
Psychology,Instagram,24,81.91,72.1,2025,WIN,D,November,F,62,1.5,44,44,79,50,81,4,3,0
Bioinformatics,Discord,21,82.66,75.73,2025,WIN,D,October,M,NA,1,2,52,60,81,90,5,2,0
Business Analytics,Instagram,26,68.58,7.92,2025,WIN,D,October,M,71,2,48,37.5,87.5,69,44,3,3,0
Business Analytics,WhatsApp,22,82.11,73.06,2025,WIN,D,October,F,71,4,27,87.5,67,67,54,4,2,0
Data Science,TikTok,20,75.69,36.46,2025,WIN,D,October,M,71,1,33,75,75,50,67,3,4,0
Data Science,YouTube,24,87.7,92.69,2025,WIN,D,October,M,70,1,44,43,83,77,50,3,4,0
Psychology,Instagram,22,79.34,57.94,2025,WIN,D,October,F,71,1,69,75,65,56,54,3,2,0
Psychology,Instagram,22,71.55,16.71,2025,WIN,D,October,M,69,1,94,83,90,62.5,21,3,4,0
Software Engineering,TikTok,24,78.8,55.27,2025,WIN,D,October,M,70,3,35,42,71,21,92,3,1,1
Accounting,TikTok,22,67.31,5.48,2025,WIN,D,September,M,66,2,79,58,81,60,65,2,2,0
Biochemistry,YouTube,22,76.18,39.29,2025,WIN,D,September,M,70,1,98,69,75,79,10,2,1,1
Business Analytics,Instagram,20,77.59,47.58,2025,WIN,D,September,M,75,1,44,54,81,62.5,48,1,1,1
Business Analytics,Instagram,22,80.52,64.68,2025,WIN,D,September,M,72,2,83,77,69,71,33,4,3,0
Data Science,Facebook,22,73.41,26.215,2025,WIN,D,September,F,60.2,2,94,83,69,79,50,0,1,1
Data Science,YouTube,NA,NA,NA,2025,WIN,D,September,M,67,2,40,80,60,70,9,1,1,1
"Fisheries, Range and Wildlife Management",Instagram,19,69.89,11.23,2025,WIN,D,September,F,62,1,62.5,87.5,67,52,31,3,1,1
Physics,Instagram,22,87.9,93.09,2025,WIN,D,September,M,69,1,37.5,81,71,62.5,58,3,3,0
Psychology,Instagram,22,88.47,94.14,2025,WIN,D,September,M,70,2,75,83,69,54,44,3,2,0
Psychology,Instagram,21,80.13,62.53,2025,WIN,D,September,F,65,2,90,79,85,52,73,2,1,1
"Fisheries, Range and Wildlife Management",Instagram,22,60.36,4.1,2025,WIN,D,September,F,63,1,62.5,75,69,85,46,3,4,0
Zoology,Instagram,25,77.49,46.96,2025,WIN,D,September,F,65,1,56,87.5,83,75,58,3,NA,NA
Computer Science,Discord,20,92.23,99.27,2025,SPR,D,November,M,73,1,29,79,62.5,62.5,85,1,1,1
Psychology,YouTube,22,76.38,35.78,2025,SPR,D,June,F,66,2,54,77,71,52,52,1,1,1
Computer Science,YouTube,20,90.02,97.46,2025,SPR,D,November,F,65,1,19,48,71,92,54,7,6,0
"Fisheries, Range and Wildlife Management",BeReal,21,86.89,91.72,2025,SPR,D,August,F,65,1,37.5,69,60,31,58,3,1,1
Data Science,Discord,22,84.89,85.35,2025,SPR,D,April,M,71,1,29,67,54,52,29,3,3,0
Psychology,NA,NA,NA,NA,2025,SPR,D,January,F,62.4,2,77,94,69,87.5,50,2,1,1
Psychology,Instagram,21,69.17,78,2025,SPR,D,September,F,64,1,37.5,69,48,62.5,33,3,2,NA
Psychology,Instagram,22,73.07,73,2025,SPR,D,June,F,66,1,69,62.5,60,50,42,4,3,0
Software Engineering,YouTube,26,83.94,81.19,2025,SPR,D,August,M,67,2,62.5,65,62.5,15,35,7,1,1
Data Science,YouTube,25,80.67,64.24,2025,SPR,D,August,M,76,2,44,54,90,73,17,4,3,0
Psychology,None,21,88.93,94.18,2025,SPR,D,June,F,64,2,50,75,48,77,87.5,0,1,1
General Studies,Instagram,21,76.04,33.8,2025,SPR,D,February,F,59,2,54,100,98,58,48,3,2,NA
Psychology,WhatsApp,23,81.9,71.57,2025,SPR,D,July,F,66,2,42,48,85,37.5,19,5,5,0
Biology,YouTube,23,78.87,52.83,2025,SPR,D,October,M,65,2,81,77,79,48,56,6,1,1
"Fisheries, Range and Wildlife Management",NA,22,80.99,NA,2025,SPR,D,July,M,75,1,19,50,54,54,62.5,5,6,0
Psychology,Instagram,22,81.68,70.38,2025,SPR,D,November,F,61,1,31,75,98,56,75,2,3,0
Psychology,YouTube,24,87.69,93.54,2025,SPR,D,July,M,69,1,71,92,85,42,73,2,1,1
Business Analytics,Instagram,20,86.29,90.05,2025,SPR,D,October,F,68,1,85,85,94,54,77,4,4,0
Psychology,Instagram,20,83.8,80.62,2025,SPR,D,April,F,69,1,31,77,75,60,65,2,3,0
"Fisheries, Range and Wildlife Management",YouTube,18,82.06,72.42,2025,SPR,D,August,F,70,2,35,62.5,94,85,2,5,2,0
"Fisheries, Range and Wildlife Management",Instagram/Pinterest,19,91.07,98.43,2025,SPR,D,January,F,64,1,71,79,92,69,60,3,1,1
Psychology,TikTok,21,NA,NA,2025,SPR,D,July,F,67,2,46,73,81,37.5,21,5,4,0
Computer Science,YouTube,20,83.36,78.78,2025,SPR,D,May,M,74,1,46,85,79,75,46,6,2,0
Computer Science,YouTube,23,84.42,83.32,2025,SPR,D,February,M,63,2,8,85,90,54,65,1,2,0
Physics,Instagram,21,80.73,NA,2025,SPR,D,March,F,64,2,79,75,92,60,62.5,6,7,0
General Studies,Pinterest,20,79.5,56.77,2025,SPR,D,May,F,63,1,69,87.5,65,48,35,3,2,0
"Fisheries, Range and Wildlife Management",Instagram,26,76.26,35.08,2025,SPR,D,December,M,69,1,60,67,94,56,10,3,2,0
Psychology,Instagram,21,79.75,58.69,2025,SPR,D,July,M,72,1,52,67,81,73,48,3,2,NA
Psychology,None,22,91.26,98.26,2025,SPR,D,February,M,71,1,85,83,71,56,12.25,4,3,0
Psychology,Instagram,18,80.77,64.9,2025,SPR,D,May,F,70,1,37,62,67,40,60,5,4,0
Physics,TikTok,35,73.27,18.51,2025,SPR,D,June,F,65,3,6,79,85,96,48,2,2,0
Psychology,YouTube,22,87.59,93.4,2025,SPR,D,January,M,71,2,52,79,77,56,48,5,2,0
Computer Engineering,YouTube,21,79.9,59.37,2025,SPR,D,February,M,67,1,10,85,83,58,81,4,5,0
Biology,YouTube,22,81.16,67.42,2025,SPR,D,April,M,69,1,46,73,48,79,35,3,1,1
Psychology,YouTube,22,83.9,81.03,2025,SPR,D,October,M,68,1,87.5,73,92,67,17,3,4,NA
Psychology,Messenger,21,67.99,5.9,2025,SPR,D,February,M,73,2,75,73,87.5,67,52,9,1,1
Psychology,Facebook,25,70.7,9.18,2025,SPR,D,February,M,75,1,62.5,79,90,60,58,4,3,1
